id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
445,Male,8/4/1963,15,Clerical,28050,16500,66,84,Yes
446,Male,8/3/1958,16,Manager,100000,44100,66,128,Yes
447,Male,7/2/1961,15,Clerical,49000,20550,66,86,Yes
448,Female,6/5/1933,12,Clerical,16350,10200,66,163,Yes
449,Male,1/2/1966,16,Manager,70000,21750,65,19,No
450,Male,7/21/1954,19,Manager,55000,34980,65,129,No
451,Male,7/19/1969,15,Clerical,28500,14250,65,20,No
452,Male,8/13/1953,12,Clerical,28800,18000,65,210,No
453,Male,8/7/1930,15,Clerical,24450,15750,65,338,No
454,Male,7/28/1965,19,Manager,90625,31250,65,18,No
455,Male,1/17/1964,16,Manager,43650,19500,65,19,No
456,Male,10/17/1959,19,Manager,75000,42510,65,54,No
457,Male,5/27/1968,15,Clerical,31650,14250,65,10,No
458,Male,7/6/1965,19,Manager,61875,28740,65,26,No
459,Female,2/10/1971,12,Clerical,21750,11250,65,missing,No
460,Female,8/12/1969,12,Clerical,22500,12750,65,24,No
461,Female,11/8/1943,8,Clerical,21600,13500,65,173,No
462,Female,10/18/1963,16,Manager,34410,19500,65,79,No
463,Female,10/15/1934,15,Clerical,20700,14250,65,241,No
464,Male,3/20/1962,19,Manager,47550,33000,64,27,No
465,Male,7/20/1962,12,Clerical,33900,16500,64,106,No
466,Female,6/15/1948,12,Clerical,23400,13500,64,198,No
467,Female,8/18/1967,16,Clerical,32850,19500,64,20,No
468,Female,11/28/1965,16,Manager,55750,19980,64,36,No
469,Female,6/1/1964,15,Clerical,25200,13950,64,57,No
470,Male,1/22/1964,12,Clerical,26250,15750,64,69,Yes
471,Male,8/3/1966,15,Clerical,26400,15750,64,32,Yes
472,Male,2/21/1966,15,Clerical,39150,15750,63,46,No
473,Female,11/25/1937,12,Clerical,21450,12750,63,139,No
474,Female,11/5/1968,12,Clerical,29400,14250,63,9,No
